index,date,subject,replicate,noise-level,intent,body orientation,ring,hand,hand rest (stability),hand orientation,gestures,firebase,time,X_trial,X_num_taps,X_detected_starts,X_extra_starts_in_front,X_extra_starts_in_end,sanity check,trial,gesture_num
0,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
1,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
2,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
3,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
4,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
5,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
6,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
7,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
8,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
9,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
10,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
11,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
12,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
13,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
14,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
15,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
16,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
17,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
18,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
19,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
20,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
21,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
22,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
23,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
24,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
25,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
26,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
27,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
28,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
29,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
30,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
31,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
32,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
33,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
34,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
35,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",f,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,6
36,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",d,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,4
37,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
38,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",i,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,9
39,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"90 deg (in air, face-level)",b,F0442A72-0E6E-4790-AB16-00940C3D37A7.json,1:39:00 PM,0,78 (missed the first one?),42,2,0,40,0,2
40,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"45 deg (in air, chest-level)",f,7D3D29CF-4CC6-476C-8515-47A797371DA9.json,1:42:00 PM,1,80,42,2,0,40,1,6
41,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"45 deg (in air, chest-level)",f,7D3D29CF-4CC6-476C-8515-47A797371DA9.json,1:42:00 PM,1,80,42,2,0,40,1,6
42,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"45 deg (in air, chest-level)",b,7D3D29CF-4CC6-476C-8515-47A797371DA9.json,1:42:00 PM,1,80,42,2,0,40,1,2
43,April 2,Gati,1,clean,isolated (wrist),sitting in chair,"2-finger, pointer-index",right,no,"45 deg (in air, chest-level)",i,7D3D29CF-4CC6-476C-8515-47A797371DA9.json,1:42:00 PM,1,80,42,2,0,40,1,9
