index,Username,Intent,trial,firebase,gestures,gesture_num
0,achang,A,0,achangA,B,2
1,achang,A,0,achangA,B,2
2,achang,A,0,achangA,C,3
3,achang,A,0,achangA,A,1
4,achang,A,0,achangA,A,1
5,achang,A,0,achangA,C,3
6,achang,A,0,achangA,D,4
7,achang,A,0,achangA,D,4
8,achang,A,0,achangA,D,4
9,achang,A,0,achangA,C,3
10,achang,A,0,achangA,A,1
11,achang,A,0,achangA,B,2
12,Andrew,B,1,AndrewB,C,3
13,Andrew,B,1,AndrewB,D,4
14,Andrew,B,1,AndrewB,B,2
15,Andrew,B,1,AndrewB,B,2
16,Andrew,B,1,AndrewB,C,3
17,Andrew,B,1,AndrewB,D,4
18,Andrew,B,1,AndrewB,B,2
19,Andrew,B,1,AndrewB,A,1
20,Andrew,B,1,AndrewB,C,3
21,Andrew,B,1,AndrewB,A,1
22,Andrew,B,1,AndrewB,D,4
23,Andrew,B,1,AndrewB,A,1
24,kguerra,A,2,kguerraA,C,3
25,kguerra,A,2,kguerraA,B,2
26,kguerra,A,2,kguerraA,C,3
27,kguerra,A,2,kguerraA,D,4
28,kguerra,A,2,kguerraA,B,2
29,kguerra,A,2,kguerraA,D,4
30,kguerra,A,2,kguerraA,C,3
31,kguerra,A,2,kguerraA,A,1
32,kguerra,A,2,kguerraA,A,1
33,kguerra,A,2,kguerraA,D,4
34,kguerra,A,2,kguerraA,A,1
35,kguerra,A,2,kguerraA,B,2
36,kguerra,B,3,kguerraB,C,3
37,kguerra,B,3,kguerraB,D,4
38,kguerra,B,3,kguerraB,C,3
39,kguerra,B,3,kguerraB,D,4
40,kguerra,B,3,kguerraB,B,2
41,kguerra,B,3,kguerraB,A,1
42,kguerra,B,3,kguerraB,A,1
43,kguerra,B,3,kguerraB,A,1
44,kguerra,B,3,kguerraB,C,3
45,kguerra,B,3,kguerraB,B,2
46,kguerra,B,3,kguerraB,D,4
47,kguerra,B,3,kguerraB,B,2
48,Amyah,A,4,AmyahA,D,4
49,Amyah,A,4,AmyahA,C,3
50,Amyah,A,4,AmyahA,A,1
51,Amyah,A,4,AmyahA,D,4
52,Amyah,A,4,AmyahA,B,2
53,Amyah,A,4,AmyahA,C,3
54,Amyah,A,4,AmyahA,A,1
55,Amyah,A,4,AmyahA,D,4
56,Amyah,A,4,AmyahA,B,2
57,Amyah,A,4,AmyahA,C,3
58,Amyah,A,4,AmyahA,A,1
59,Amyah,A,4,AmyahA,B,2
60,Nyah,A,5,NyahA,D,4
61,Nyah,A,5,NyahA,C,3
62,Nyah,A,5,NyahA,B,2
63,Nyah,A,5,NyahA,A,1
64,Nyah,A,5,NyahA,A,1
65,Nyah,A,5,NyahA,B,2
66,Nyah,A,5,NyahA,C,3
67,Nyah,A,5,NyahA,C,3
68,Nyah,A,5,NyahA,D,4
69,Nyah,A,5,NyahA,A,1
70,Nyah,A,5,NyahA,D,4
71,Nyah,A,5,NyahA,B,2
72,pogunbufunmi,A,6,pogunbufunmiA,C,3
73,pogunbufunmi,A,6,pogunbufunmiA,B,2
74,pogunbufunmi,A,6,pogunbufunmiA,D,4
75,pogunbufunmi,A,6,pogunbufunmiA,A,1
76,pogunbufunmi,A,6,pogunbufunmiA,B,2
77,pogunbufunmi,A,6,pogunbufunmiA,A,1
78,pogunbufunmi,A,6,pogunbufunmiA,A,1
79,pogunbufunmi,A,6,pogunbufunmiA,C,3
80,pogunbufunmi,A,6,pogunbufunmiA,B,2
81,pogunbufunmi,A,6,pogunbufunmiA,D,4
82,pogunbufunmi,A,6,pogunbufunmiA,C,3
83,pogunbufunmi,A,6,pogunbufunmiA,D,4
84,pogunbufunmi,B,7,pogunbufunmiB,D,4
85,pogunbufunmi,B,7,pogunbufunmiB,B,2
86,pogunbufunmi,B,7,pogunbufunmiB,C,3
87,pogunbufunmi,B,7,pogunbufunmiB,A,1
88,pogunbufunmi,B,7,pogunbufunmiB,D,4
89,pogunbufunmi,B,7,pogunbufunmiB,B,2
90,pogunbufunmi,B,7,pogunbufunmiB,C,3
91,pogunbufunmi,B,7,pogunbufunmiB,A,1
92,pogunbufunmi,B,7,pogunbufunmiB,A,1
93,pogunbufunmi,B,7,pogunbufunmiB,D,4
94,pogunbufunmi,B,7,pogunbufunmiB,B,2
95,pogunbufunmi,B,7,pogunbufunmiB,C,3
96,dgarcia,A,8,dgarciaA,C,3
97,dgarcia,A,8,dgarciaA,A,1
98,dgarcia,A,8,dgarciaA,D,4
99,dgarcia,A,8,dgarciaA,D,4
100,dgarcia,A,8,dgarciaA,C,3
101,dgarcia,A,8,dgarciaA,D,4
102,dgarcia,A,8,dgarciaA,B,2
103,dgarcia,A,8,dgarciaA,B,2
104,dgarcia,A,8,dgarciaA,A,1
105,dgarcia,A,8,dgarciaA,A,1
106,dgarcia,A,8,dgarciaA,B,2
107,dgarcia,A,8,dgarciaA,C,3
108,dgarcia,B,9,dgarciaB,C,3
109,dgarcia,B,9,dgarciaB,A,1
110,dgarcia,B,9,dgarciaB,C,3
111,dgarcia,B,9,dgarciaB,C,3
112,dgarcia,B,9,dgarciaB,D,4
113,dgarcia,B,9,dgarciaB,B,2
114,dgarcia,B,9,dgarciaB,D,4
115,dgarcia,B,9,dgarciaB,A,1
116,dgarcia,B,9,dgarciaB,A,1
117,dgarcia,B,9,dgarciaB,D,4
118,dgarcia,B,9,dgarciaB,B,2
119,dgarcia,B,9,dgarciaB,B,2
120,Wfan,A,10,WfanA,D,4
121,Wfan,A,10,WfanA,A,1
122,Wfan,A,10,WfanA,A,1
123,Wfan,A,10,WfanA,A,1
124,Wfan,A,10,WfanA,B,2
125,Wfan,A,10,WfanA,B,2
